"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
7.133291534E1,6.501114593E1,2.550202357E1,1.819127378E1,3.565545654E1,8.299999833E-1,1.165000000E2,3.318297652E-1,3.790092468E0,2.500000000E0,3.400000000E1
7.233225523E1,6.501114269E1,2.550203929E1,1.844102894E1,3.590521240E1,4.399999976E-1,1.330000000E2,3.322545251E-1,3.790092468E0,2.500000000E0,3.400000000E1
7.334628372E1,6.501114095E1,2.550204734E1,1.922441484E1,3.668859863E1,2.099999934E-1,1.330000000E2,3.329109928E-1,3.790092468E0,2.500000000E0,3.500000000E1
7.434552528E1,6.501113762E1,2.550205888E1,1.973772032E1,3.720190430E1,8.299999833E-1,1.180000000E2,3.338257528E-1,3.790092468E0,2.500000000E0,3.500000000E1
7.534518883E1,6.501113308E1,2.550207512E1,1.961998320E1,3.708416748E1,7.900000215E-1,1.330000000E2,3.347280578E-1,3.790092468E0,2.500000000E0,3.500000000E1
7.634306841E1,6.501112951E1,2.550209237E1,2.018492384E1,3.764910889E1,8.199999928E-1,1.185000000E2,3.359729859E-1,3.790092468E0,2.500000000E0,3.500000000E1
7.734270205E1,6.501112522E1,2.550211685E1,2.086552552E1,3.832971191E1,1.340000033E0,1.143000031E2,3.373101716E-1,3.790092468E0,2.500000000E0,3.500000000E1
7.834284466E1,6.501112205E1,2.550214431E1,2.071311863E1,3.817730713E1,9.900000095E-1,1.056999969E2,3.386384918E-1,3.790092468E0,2.500000000E0,3.500000000E1
7.934600841E1,6.501112143E1,2.550217255E1,2.104423126E1,3.850842285E1,1.190000057E0,9.740000153E1,3.400048702E-1,3.790092468E0,2.500000000E0,3.600000000E1
8.034639539E1,6.501112275E1,2.550220147E1,2.078787975E1,3.825207520E1,1.190000057E0,8.500000000E1,3.415186974E-1,3.790092468E0,2.500000000E0,3.600000000E1
8.135372783E1,6.501112616E1,2.550223267E1,2.050381728E1,3.796801758E1,1.450000048E0,7.850000000E1,3.429031679E-1,3.790092468E0,2.500000000E0,3.600000000E1
8.234284367E1,6.501112854E1,2.550226160E1,1.979879596E1,3.726300049E1,1.120000005E0,8.419999695E1,3.441355966E-1,3.790092468E0,2.500000000E0,3.600000000E1
8.347012148E1,6.501113031E1,2.550228750E1,1.863747638E1,3.610168457E1,9.200000167E-1,8.630000305E1,3.454471454E-1,3.790092468E0,2.500000000E0,3.600000000E1
8.433962028E1,6.501113320E1,2.550231457E1,1.903798489E1,3.650219727E1,1.190000057E0,8.380000305E1,3.467978347E-1,3.790092468E0,2.500000000E0,3.700000000E1
8.534528596E1,6.501113709E1,2.550234181E1,1.834938169E1,3.581359863E1,1.080000043E0,7.509999847E1,3.479687072E-1,3.790092468E0,2.500000000E0,3.700000000E1
8.634408288E1,6.501114300E1,2.550236244E1,1.870173315E1,3.616595459E1,8.500000238E-1,6.190000153E1,3.490692794E-1,3.790092468E0,2.500000000E0,3.700000000E1
8.734008200E1,6.501115124E1,2.550237542E1,1.925568381E1,3.671990967E1,8.799999952E-1,4.250000000E1,3.503402067E-1,3.790092468E0,2.500000000E0,3.700000000E1
8.834878007E1,6.501116256E1,2.550237916E1,1.883899237E1,3.630322266E1,1.070000052E0,1.000000000E1,3.519840097E-1,3.790092468E0,2.500000000E0,3.700000000E1
8.933782226E1,6.501117723E1,2.550237484E1,1.899468839E1,3.645892334E1,1.480000019E0,3.570000000E2,3.536066076E-1,3.790092468E0,2.500000000E0,3.700000000E1
9.034452596E1,6.501119159E1,2.550236870E1,1.877318747E1,3.623742676E1,1.220000029E0,3.568999939E2,3.550754869E-1,3.790092468E0,2.500000000E0,3.700000000E1
9.134148679E1,6.501120445E1,2.550236155E1,1.836034199E1,3.582458496E1,1.230000019E0,3.476000061E2,3.561484993E-1,3.790092468E0,2.500000000E0,3.700000000E1
9.234596465E1,6.501121380E1,2.550235590E1,1.783751221E1,3.530175781E1,7.699999809E-1,3.480000000E2,3.568213036E-1,3.790092468E0,2.500000000E0,3.700000000E1
9.334642075E1,6.501121960E1,2.550235182E1,1.720237881E1,3.466662598E1,5.000000000E-1,3.480000000E2,3.573210350E-1,3.790092468E0,2.500000000E0,3.700000000E1
9.434070752E1,6.501122372E1,2.550234757E1,1.690513664E1,3.436938477E1,3.799999952E-1,3.478999939E2,3.575729317E-1,3.790092468E0,2.500000000E0,3.700000000E1
9.534967950E1,6.501122584E1,2.550234568E1,1.701573182E1,3.447998047E1,0.000000000E0,NaN,3.576692121E-1,3.790092468E0,2.500000000E0,3.700000000E1
9.634244111E1,6.501122623E1,2.550234385E1,1.718827828E1,3.465252686E1,0.000000000E0,NaN,3.678965707E-1,3.790092468E0,2.500000000E0,3.700000000E1
9.730262276E1,6.501115570E1,2.550248360E1,1.993576142E1,3.740000153E1,NaN,NaN,3.822426541E-1,1.597999954E1,1.000000000E0,0.000000000E0
9.974262569E1,6.501126621E1,2.550232599E1,1.545163300E1,3.291589355E1,1.539999962E0,5.379999924E1,3.830947075E-1,6.035661221E0,9.184771538E0,0.000000000E0
9.977099689E1,6.501127074E1,2.550234062E1,1.553768926E1,3.300195312E1,1.539999962E0,5.379999924E1,3.843476472E-1,6.045100212E0,9.186999321E0,0.000000000E0
1.007929880E2,6.501127698E1,2.550236283E1,1.481844618E1,3.228271484E1,1.259999990E0,4.800000000E1,3.880857745E-1,4.295305252E0,6.875026226E0,2.300000000E1
1.018052587E2,6.501127131E1,2.550244127E1,1.790901516E1,3.537329102E1,1.100000024E0,2.850000000E1,3.903262520E-1,3.790092468E0,4.226737976E0,3.300000000E1
1.028075182E2,6.501129032E1,2.550245708E1,1.757575467E1,3.504003906E1,1.399999976E0,2.350000000E1,3.922343779E-1,3.790092468E0,3.621093988E0,3.500000000E1
1.038072085E2,6.501130510E1,2.550247772E1,1.832550291E1,3.578979492E1,1.059999943E0,2.589999962E1,3.939876929E-1,3.790092468E0,3.120147228E0,3.600000000E1
1.048057850E2,6.501132076E1,2.550248208E1,1.805437872E1,3.551867676E1,1.039999962E0,1.250000000E1,3.958277491E-1,3.790092468E0,2.934810638E0,3.600000000E1
1.058103839E2,6.501133645E1,2.550249453E1,1.752489176E1,3.498919678E1,9.399999976E-1,2.970000076E1,3.978326431E-1,3.790092468E0,2.648225307E0,3.600000000E1
1.067974352E2,6.501135448E1,2.550249483E1,1.770701428E1,3.517132568E1,1.049999952E0,2.900000095E0,3.990213484E-1,3.790092468E0,2.500000000E0,3.600000000E1
1.077983709E2,6.501136469E1,2.550250233E1,1.774967339E1,3.521398926E1,9.599999785E-1,1.850000000E1,4.002607257E-1,3.790092468E0,2.505470514E0,3.600000000E1
1.087985948E2,6.501137475E1,2.550251369E1,1.751742975E1,3.498175049E1,1.389999986E0,3.070000076E1,4.014101173E-1,3.790092468E0,2.500000000E0,3.600000000E1
1.098005827E2,6.501138440E1,2.550252246E1,1.690701273E1,3.437133789E1,1.080000043E0,1.300000000E1,4.026237865E-1,3.790092468E0,2.500000000E0,3.600000000E1
1.108011133E2,6.501139493E1,2.550252926E1,1.656142717E1,3.402575684E1,1.360000014E0,1.339999962E1,4.040377584E-1,3.790092468E0,2.500000000E0,3.600000000E1
1.118029519E2,6.501140736E1,2.550253561E1,1.623592156E1,3.370025635E1,1.399999976E0,1.319999981E1,4.052727763E-1,3.790092468E0,2.500000000E0,3.600000000E1
1.128030440E2,6.501141823E1,2.550254101E1,1.672377111E1,3.418811035E1,9.900000095E-1,1.319999981E1,4.063894488E-1,3.790092468E0,2.500000000E0,3.600000000E1
1.138042543E2,6.501142779E1,2.550254829E1,1.644770488E1,3.391204834E1,1.090000033E0,1.219999981E1,4.073795355E-1,3.790092468E0,2.500000000E0,3.600000000E1
1.147926195E2,6.501143610E1,2.550255586E1,1.721631679E1,3.468066406E1,7.900000215E-1,1.389999962E1,4.084896694E-1,3.790092468E0,2.500000000E0,3.600000000E1
1.157905828E2,6.501144526E1,2.550256526E1,1.618695456E1,3.365130615E1,1.250000000E0,1.400000000E1,4.100185531E-1,3.790092468E0,2.500000000E0,3.600000000E1
