"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
1.289924055E2,6.503761589E1,2.554899553E1,1.752721923E1,3.500524902E1,1.779999971E0,2.341999969E2,5.805490625E-1,3.790092468E0,2.500000000E0,3.000000000E1
1.299915784E2,6.503760646E1,2.554896429E1,1.759765977E1,3.507568359E1,1.600000024E0,2.353000031E2,5.822727404E-1,3.790092468E0,2.500000000E0,3.000000000E1
1.309905443E2,6.503759771E1,2.554893397E1,1.746015324E1,3.493817139E1,1.679999948E0,2.358999939E2,5.840489744E-1,3.790092468E0,2.500000000E0,3.000000000E1
1.319934469E2,6.503758874E1,2.554890265E1,1.746675088E1,3.494476318E1,1.720000029E0,2.350000000E2,5.857788621E-1,3.790092468E0,2.500000000E0,3.000000000E1
1.329925448E2,6.503758009E1,2.554887201E1,1.739613888E1,3.487414551E1,1.649999976E0,2.345000000E2,5.874985477E-1,3.790092468E0,2.500000000E0,3.000000000E1
1.339902893E2,6.503757146E1,2.554884160E1,1.734707226E1,3.482507324E1,1.759999990E0,2.336999969E2,5.892936042E-1,3.790092468E0,2.500000000E0,3.100000000E1
1.349915170E2,6.503756245E1,2.554880986E1,1.724392875E1,3.472192383E1,1.759999990E0,2.350000000E2,5.909873354E-1,3.790092468E0,2.500000000E0,3.000000000E1
1.359900568E2,6.503755418E1,2.554877955E1,1.727188837E1,3.474987793E1,1.649999976E0,2.363000031E2,5.926318164E-1,3.790092468E0,2.500000000E0,3.000000000E1
1.369923184E2,6.503754608E1,2.554875023E1,1.709019209E1,3.456817627E1,1.669999957E0,2.373999939E2,5.943028914E-1,3.790092468E0,2.500000000E0,2.900000000E1
1.379902008E2,6.503753770E1,2.554872067E1,1.692894270E1,3.440692139E1,1.690000057E0,2.361999969E2,5.960058878E-1,3.790092468E0,2.500000000E0,2.800000000E1
1.389944886E2,6.503752878E1,2.554869117E1,1.677983946E1,3.425781250E1,1.759999990E0,2.335000000E2,5.976745270E-1,3.790092468E0,2.500000000E0,2.700000000E1
1.399914079E2,6.503751975E1,2.554866277E1,1.671972542E1,3.419769287E1,1.659999967E0,2.345000000E2,5.993353669E-1,3.790092468E0,2.500000000E0,2.600000000E1
1.409932453E2,6.503751117E1,2.554863380E1,1.685113960E1,3.432910156E1,1.750000000E0,2.356000061E2,6.010216529E-1,3.790092468E0,2.500000000E0,2.600000000E1
1.419896693E2,6.503750259E1,2.554860417E1,1.684675063E1,3.432470703E1,1.730000019E0,2.355000000E2,6.026356662E-1,3.790092468E0,2.500000000E0,2.600000000E1
1.429919739E2,6.503749439E1,2.554857579E1,1.672181699E1,3.419976807E1,1.629999995E0,2.343999939E2,6.043050697E-1,3.790092468E0,2.500000000E0,2.600000000E1
1.439948117E2,6.503748590E1,2.554854645E1,1.677895140E1,3.425689697E1,1.759999990E0,2.350000000E2,6.059428805E-1,3.790092468E0,2.500000000E0,2.600000000E1
