"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
8.441320910E-1,-1.658036828E0,-3.895111084E-1,1.193256378E0,2.079583086E0
8.491172470E-1,-1.604743481E0,-4.066199064E-1,1.191720963E0,2.039789264E0
8.541020390E-1,-1.475210667E0,-5.029398203E-1,1.100122452E0,1.907738028E0
8.590867780E-1,-1.309313416E0,-5.570857525E-1,9.239292145E-1,1.696552785E0
8.640715700E-1,-1.159283400E0,-5.408596992E-1,7.422494888E-1,1.478986653E0
8.690563620E-1,-9.320944548E-1,-5.904476643E-1,6.074886322E-1,1.259551887E0
8.740411010E-1,-7.855492234E-1,-5.553032160E-1,3.788347244E-1,1.033907632E0
8.790262570E-1,-6.573734283E-1,-4.739357233E-1,2.139539719E-1,8.381713406E-1
8.840110490E-1,-5.049859881E-1,-4.180902243E-1,1.480388641E-2,6.557662990E-1
8.889957890E-1,-3.647561073E-1,-3.924611807E-1,-1.255874634E-1,5.503135535E-1
8.939805800E-1,-2.635195851E-1,-3.659967184E-1,-2.052469254E-1,4.955022402E-1
8.989653720E-1,-1.591982245E-1,-3.795142174E-1,-1.364707947E-1,4.335889686E-1
9.039501120E-1,2.157509327E-2,-3.901803493E-1,-1.320877075E-1,4.124964874E-1
9.089352680E-1,4.736387730E-2,-3.506237268E-1,-1.988487244E-1,4.058585343E-1
9.139200590E-1,8.107304573E-2,-2.971777916E-1,-2.267589569E-1,3.825011152E-1
9.189047990E-1,9.883582592E-2,-2.369050980E-1,-2.875413895E-1,3.854511598E-1
9.238895910E-1,3.910338879E-2,-1.172713041E-1,-4.691543579E-1,4.851674405E-1
9.288743820E-1,-7.335662842E-3,2.812242508E-2,-6.018505096E-1,6.025518390E-1
9.338591220E-1,-3.842061758E-2,1.278693676E-1,-6.597805023E-1,6.731545367E-1
9.388832890E-1,7.497191429E-3,2.040354013E-1,-7.935190201E-1,8.193650518E-1
9.438680800E-1,3.454267979E-2,2.283523083E-1,-9.098024368E-1,9.386577904E-1
9.488528200E-1,9.292441607E-2,2.585335970E-1,-1.013540268E0,1.050113538E0
9.538376120E-1,1.377933025E-1,2.044005394E-1,-1.133402824E0,1.159900227E0
9.588223510E-1,1.860719919E-1,2.169692516E-1,-1.278897285E0,1.310449049E0
9.638071430E-1,2.474101186E-1,2.744255066E-1,-1.321233749E0,1.371925561E0
9.687922990E-1,2.417184711E-1,2.720177174E-1,-1.539673805E0,1.582092565E0
9.737770910E-1,2.701994181E-1,2.745089531E-1,-1.697348118E0,1.740503813E0
9.787618300E-1,3.375760317E-1,2.962427139E-1,-1.842239857E0,1.896197514E0
9.837466220E-1,3.792761564E-1,3.230829239E-1,-1.953027248E0,2.015576446E0
9.887313620E-1,3.643113375E-1,4.359632730E-1,-2.058498383E0,2.135463022E0
9.937161530E-1,3.808727264E-1,4.895068407E-1,-2.103977680E0,2.193491067E0
9.987013090E-1,4.070476294E-1,4.934604168E-1,-2.156519890E0,2.249393027E0
1.003686101E0,4.712636471E-1,4.982466698E-1,-2.237567902E0,2.340309655E0
1.008670841E0,5.331770182E-1,5.636088848E-1,-2.389858723E0,2.512639533E0
1.013655632E0,5.810372233E-1,6.248739958E-1,-2.498625278E0,2.640303022E0
1.018640372E0,6.241416931E-1,6.038001776E-1,-2.604703426E0,2.745652463E0
